Sr No._x,Date of Encashment,Name of the Political Party,Account no. of Political Party,Prefix,Bond Number,Denominations_x,Pay Branch Code,Pay Teller,Sr No._y,Reference No  (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations_y,Issue Branch Code,Issue Teller,Status
184,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2810,10000000,691,3300196,,,,,,,,,,
185,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4488,10000000,691,3300196,,,,,,,,,,
186,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5148,10000000,691,3300196,,,,,,,,,,
187,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4432,10000000,691,3300196,,,,,,,,,,
188,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5173,10000000,691,3300196,,,,,,,,,,
189,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5107,10000000,691,3300196,,,,,,,,,,
190,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5101,10000000,691,3300196,,,,,,,,,,
191,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5211,10000000,691,3300196,,,,,,,,,,
192,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5102,10000000,691,3300196,,,,,,,,,,
193,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5130,10000000,691,3300196,,,,,,,,,,
194,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5149,10000000,691,3300196,,,,,,,,,,
195,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5216,10000000,691,3300196,,,,,,,,,,
196,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5213,10000000,691,3300196,,,,,,,,,,
197,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5151,10000000,691,3300196,,,,,,,,,,
198,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5215,10000000,691,3300196,,,,,,,,,,
199,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5214,10000000,691,3300196,,,,,,,,,,
200,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5103,10000000,691,3300196,,,,,,,,,,
201,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5128,10000000,691,3300196,,,,,,,,,,
202,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5105,10000000,691,3300196,,,,,,,,,,
203,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5212,10000000,691,3300196,,,,,,,,,,
204,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5126,10000000,691,3300196,,,,,,,,,,
205,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5150,10000000,691,3300196,,,,,,,,,,
206,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5142,10000000,691,3300196,,,,,,,,,,
207,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5127,10000000,691,3300196,,,,,,,,,,
208,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5144,10000000,691,3300196,,,,,,,,,,
209,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5106,10000000,691,3300196,,,,,,,,,,
210,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5123,10000000,691,3300196,,,,,,,,,,
211,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5146,10000000,691,3300196,,,,,,,,,,
212,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5147,10000000,691,3300196,,,,,,,,,,
213,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5108,10000000,691,3300196,,,,,,,,,,
214,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5124,10000000,691,3300196,,,,,,,,,,
215,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5121,10000000,691,3300196,,,,,,,,,,
216,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5143,10000000,691,3300196,,,,,,,,,,
217,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5145,10000000,691,3300196,,,,,,,,,,
218,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5109,10000000,691,3300196,,,,,,,,,,
219,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5129,10000000,691,3300196,,,,,,,,,,
220,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5104,10000000,691,3300196,,,,,,,,,,
221,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5192,10000000,691,3627829,,,,,,,,,,
222,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4433,10000000,691,3300196,,,,,,,,,,
